file_path,role,keep_use_archive_delete,reason,notes
_build_calibrated_survival_analysis_notebook.py,supporting project file,keep_use,No safe delete decision without deeper dependency analysis,
_build_method_comparison_notebook.py,supporting project file,keep_use,No safe delete decision without deeper dependency analysis,
Internship_Guide___Predictive_Modeling.pdf,supporting project file,keep_use,No safe delete decision without deeper dependency analysis,
_build_survival_notebook.py,supporting project file,keep_use,No safe delete decision without deeper dependency analysis,
README.md,supporting project file,keep_use,No safe delete decision without deeper dependency analysis,
_build_parameter_calibration_notebook.py,supporting project file,keep_use,No safe delete decision without deeper dependency analysis,
AUDIT.md,supporting project file,keep_use,No safe delete decision without deeper dependency analysis,
requirements.txt,supporting project file,keep_use,No safe delete decision without deeper dependency analysis,
_build_synthetic_benchmark_notebook.py,supporting project file,keep_use,No safe delete decision without deeper dependency analysis,
_build_apply_calibrated_rules_notebook.py,supporting project file,keep_use,No safe delete decision without deeper dependency analysis,
.gitignore,supporting project file,keep_use,No safe delete decision without deeper dependency analysis,
scripts/run_current_methodology_tests.py,pipeline code,keep_use,Code or notebook may still document reusable logic,
scripts/task_section16_risk_indicators.py,pipeline code,keep_use,Code or notebook may still document reusable logic,
scripts/task_boamp_full_survival.py,pipeline code,keep_use,Code or notebook may still document reusable logic,
scripts/run_current_survival_analysis.py,pipeline code,keep_use,Code or notebook may still document reusable logic,
scripts/build_boamp_current_enriched.py,pipeline code,keep_use,Code or notebook may still document reusable logic,
scripts/task3_decp_fetch_profile.py,pipeline code,keep_use,Code or notebook may still document reusable logic,
scripts/nlp_baseline_classifier.py,pipeline code,keep_use,Code or notebook may still document reusable logic,
scripts/utils.py,pipeline code,keep_use,Code or notebook may still document reusable logic,
scripts/link_confidence.py,pipeline code,keep_use,Code or notebook may still document reusable logic,
scripts/task10_link_confidence_diagnostics.py,pipeline code,keep_use,Code or notebook may still document reusable logic,
scripts/task_l3_cox_ph_diagnostics_m0_balanced.py,pipeline code,keep_use,Code or notebook may still document reusable logic,
