notice_id,scenario,role,buyer_id,buyer_name,buyer_key,object,cpv,category,need_id,start_date,declared_duration_months,duration_missing_flag,estimated_end_date,true_event,true_source_id,candidate_type,noise_types_applied,large_buyer_flag
SYN_MEDIUM_SRC_00000,medium,source,B0117,Région Pays de la Loire 117,NAME:pays loire 117,maintenance du logiciel métier bibliothèque,72267100,Software & Applications,maintenance logiciel métier,2015-12-07,,1,2019-12-07,1,SYN_MEDIUM_SRC_00000,source,missing_duration,False
SYN_MEDIUM_TRUE_00000,medium,candidate,B0117,Région Pays de la Loire 117,NAME:pays loire 117,"support et évolution de la solution applicative ressources humaines incluant support, formation et maintenance",72267100,Software & Applications,maintenance logiciel métier,2019-09-14,,1,,0,SYN_MEDIUM_SRC_00000,true_recurrence,none,False
SYN_MEDIUM_SRC_00001,medium,source,B0227,Mairie de Laval 227,NAME:laval 227,"infogérance de l'infrastructure informatique incluant support, formation et maintenance",72700000,Cloud & Infrastructure,infogérance infrastructure,2021-09-12,12.0,0,2022-09-12,1,SYN_MEDIUM_SRC_00001,source,none,False
SYN_MEDIUM_TRUE_00001,medium,candidate,B0227,Mairie de Laval 227,NAME:laval 227,exploitation et supervision des serveurs et réseaux et accompagnement au déploiement,72700000,Cloud & Infrastructure,infogérance infrastructure,2022-07-08,,1,,0,SYN_MEDIUM_SRC_00001,true_recurrence,none,False
SYN_MEDIUM_FALSE_00001_00,medium,candidate,B0227,Mairie de Laval 227,NAME:laval 227,prestations réseau voix données internet,32420000,Telecom & Networks,télécommunications,2023-03-03,,1,,0,SYN_MEDIUM_SRC_00001,false_candidate_same_buyer,false_candidate|near_expected_end_wrong_need,False
SYN_MEDIUM_SRC_00002,medium,source,B0002,Région Pays de la Loire,NAME:pays loire,prestations réseau voix données internet avec prestations associées,32000000,Telecom & Networks,télécommunications,2020-11-05,60.0,0,2025-11-05,1,SYN_MEDIUM_SRC_00002,source,none,True
SYN_MEDIUM_TRUE_00002,medium,candidate,B0002,Région Pays de la Loire,NAME:pays loire,services de télécommunications fixes et mobiles pour plusieurs sites,32400000,Telecom & Networks,télécommunications,2025-11-27,,1,,0,SYN_MEDIUM_SRC_00002,true_recurrence,cpv_reclassification,True
SYN_MEDIUM_SRC_00003,medium,source,B0228,SEMITAN 228,NAME:semitan 228,hébergement cloud et infogérance de plateformes numériques et accompagnement au déploiement,48820000,Cloud & Infrastructure,hébergement cloud,2020-04-09,48.0,0,2024-04-09,1,SYN_MEDIUM_SRC_00003,source,none,False
SYN_MEDIUM_TRUE_00003,medium,candidate,B0228,SEMITAN 228,NAME:semitan 228,hébergement cloud et infogérance de plateformes numériques pour les besoins des services,48820000,Cloud & Infrastructure,hébergement cloud,2023-11-29,,1,,0,SYN_MEDIUM_SRC_00003,true_recurrence,none,False
SYN_MEDIUM_FALSE_00003_00,medium,candidate,B0022,ONIRIS,NAME:oniris,"prestations data, BI et cartographie décisionnelle incluant support, formation et maintenance",72212326,Data / BI / Cartography,data BI cartographie,2024-08-20,,1,,0,,false_candidate_other_buyer,different_buyer_similar_object|false_candidate|near_expected_end_wrong_need,False
SYN_MEDIUM_FALSE_00003_01,medium,candidate,B0228,SEMITAN 228,NAME:semitan 228,solution logicielle,32420000,Telecom & Networks,télécommunications,2024-05-27,,1,,0,SYN_MEDIUM_SRC_00003,false_candidate_same_buyer,false_candidate|near_expected_end_wrong_need,False
SYN_MEDIUM_SRC_00004,medium,source,B0043,Mairie de Laval 043,NAME:laval 043,maintenance du logiciel métier finances,48000000,Software & Applications,maintenance logiciel métier,2018-11-12,6.0,0,2019-05-13,1,SYN_MEDIUM_SRC_00004,source,none,False
