notice_id,scenario,role,buyer_id,buyer_name,buyer_key,object,cpv,category,need_id,start_date,declared_duration_months,duration_missing_flag,estimated_end_date,true_event,true_source_id,candidate_type,noise_types_applied,large_buyer_flag
SYN_HARD_SRC_00000,hard,source,B0007,Angers Loire Métropole,NAME:angers loire,maintenance informatique,64200000,Telecom & Networks,télécommunications,2021-04-29,24.0,0,2023-04-29,0,SYN_HARD_SRC_00000,source,none,True
SYN_HARD_FALSE_00000_00,hard,candidate,B0007,Angers Loire Métropole,NAME:angers loire,"prestations de développement, intégration et maintenance web avec prestations associées",64200000,IT Services & Consulting,développement application web,2022-05-28,,1,,0,SYN_HARD_SRC_00000,false_candidate_same_buyer,false_candidate|same_or_generic_cpv_wrong_need,True
SYN_HARD_FALSE_00000_01,hard,candidate,B0007,Angers Loire Métropole,NAME:angers loire,fourniture d'équipements réseau et prestations associées,32500000,Telecom & Networks,équipements réseau,2024-01-02,,1,,0,SYN_HARD_SRC_00000,false_candidate_same_buyer,false_candidate|near_expected_end_wrong_need,True
SYN_HARD_FALSE_00000_02,hard,candidate,B0007,Angers Loire Métropole,NAME:angers loire,prestations informatiques,72590000,IT Services & Consulting,développement application web,2023-03-04,,1,,0,SYN_HARD_SRC_00000,false_candidate_same_buyer,false_candidate|generic_short_object|near_expected_end_wrong_need,True
SYN_HARD_FALSE_00000_03,hard,candidate,B0007,Angers Loire Métropole,NAME:angers loire,plateforme de valorisation des données territoriales pour plusieurs sites,64200000,Data / BI / Cartography,data BI cartographie,2024-03-06,,1,,0,SYN_HARD_SRC_00000,false_candidate_same_buyer,false_candidate|near_expected_end_wrong_need|same_or_generic_cpv_wrong_need,True
SYN_HARD_SRC_00001,hard,source,B0142,CHU de Nantes 142,NAME:nantes 142,prestations d'audit de sécurité du système d'information,72810000,Cybersecurity,audit sécurité SI,2019-03-01,48.0,0,2023-03-01,0,SYN_HARD_SRC_00001,source,none,False
SYN_HARD_FALSE_00001_00,hard,candidate,B0142,CHU de Nantes 142,NAME:nantes 142,solution logicielle,72810000,Cybersecurity,maintenance logiciel métier,2022-04-30,,1,,0,SYN_HARD_SRC_00001,false_candidate_same_buyer,false_candidate|same_broad_category_wrong_need|same_or_generic_cpv_wrong_need,False
SYN_HARD_FALSE_00001_01,hard,candidate,B0142,CHU de Nantes 142,NAME:nantes 142,prestations informatiques,72810000,Software & Applications,maintenance logiciel métier,2022-12-17,,1,,0,SYN_HARD_SRC_00001,false_candidate_same_buyer,false_candidate|generic_short_object|near_expected_end_wrong_need|same_or_generic_cpv_wrong_need,False
SYN_HARD_SRC_00002,hard,source,B0106,Centre hospitalier du Mans 106,NAME:centre hospitalier mans 106,assistance à maîtrise d'ouvrage numérique et accompagnement au déploiement,79411000,AMOA numérique,AMOA numérique,2021-08-30,,1,2025-08-30,1,SYN_HARD_SRC_00002,source,missing_duration,False
SYN_HARD_TRUE_00002,hard,candidate,B0106,Centre hospitalier du Mans 106,NAME:centre hospitalier mans 106,services numériques,79411000,AMOA numérique,AMOA numérique,2025-12-06,,1,,0,SYN_HARD_SRC_00002,true_recurrence,object_shortening,False
SYN_HARD_FALSE_00002_00,hard,candidate,B0248,Vendée Eau 248,NAME:vendee eau 248,prestations d'audit de sécurité du système d'information et accompagnement au déploiement,48730000,Cybersecurity,audit sécurité SI,2022-06-04,,1,,0,,false_candidate_other_buyer,different_buyer_similar_object|false_candidate,False
SYN_HARD_FALSE_00002_01,hard,candidate,B0106,Centre hospitalier du Mans 106,NAME:centre hospitalier mans 106,"maintenance du logiciel métier patrimoine incluant support, formation et maintenance",48311100,Software & Applications,maintenance logiciel métier,2024-01-23,,1,,0,SYN_HARD_SRC_00002,false_candidate_same_buyer,false_candidate,False
SYN_HARD_FALSE_00002_02,hard,candidate,B0014,Centre hospitalier du Mans,NAME:centre hospitalier mans,prestations de conseil et pilotage de projets digitaux,79411000,AMOA numérique,AMOA numérique,2026-10-23,,1,,0,,false_candidate_other_buyer,different_buyer_similar_object|false_candidate|near_expected_end_wrong_need|same_or_generic_cpv_wrong_need,False
SYN_HARD_SRC_00003,hard,source,B0098,Ville du Mans 098,NAME:mans 098,solution collaborative et environnement de travail numérique pour les besoins des services,72212218,Digital Workplace & Collaboration,poste de travail,2016-03-14,,1,2020-03-14,0,SYN_HARD_SRC_00003,source,missing_duration,False
SYN_HARD_SRC_00004,hard,source,B0002,Région Pays de la Loire,NAME:pays loire,maintenance du logiciel métier ressources humaines pour les besoins des services,48000000,Software & Applications,maintenance logiciel métier,2018-08-29,6.0,0,2019-02-27,1,SYN_HARD_SRC_00004,source,none,True
SYN_HARD_TRUE_00004,hard,candidate,B0002,Région Pays de la Loire,NAME:pays loire,maintenance du logiciel métier gestion des usagers,48000000,Software & Applications,maintenance logiciel métier,2019-09-21,,1,,0,SYN_HARD_SRC_00004,true_recurrence,generic_cpv_replacement,True
